hjemmelag,bortelag,mål_hjemme,mål_borte
Rosenborg,Brann,0,2
Sandefjord,Molde,2,2
Sarpsborg 08,Strømsgodset,1,2
Aalesund,HamKam,0,2
Lillestrøm,Viking,1,3
Vålerenga,Haugesund,1,1
Stabæk,Tromsø,0,1
Molde,Vålerenga,0,0
Odd,Sarpsborg 08,0,3
Brann,Aalesund,5,1
HamKam,Rosenborg,3,0
Haugesund,Bodø/Glimt,1,3
Strømsgodset,Lillestrøm,1,2
Tromsø,Sandefjord,1,0
Viking,Stabæk,1,0
Sarpsborg 08,Tromsø,4,0
Rosenborg,Aalesund,4,0
Sandefjord,Haugesund,0,0
Vålerenga,Odd,2,2
Bodø/Glimt,Strømsgodset,2,0
Lillestrøm,Brann,0,2
Molde,Viking,4,0
Stabæk,HamKam,5,2
Viking,Vålerenga,1,1
Aalesund,Lillestrøm,1,1
Brann,Sarpsborg 08,1,0
HamKam,Bodø/Glimt,4,4
Haugesund,Molde,1,2
Odd,Sandefjord,3,2
Strømsgodset,Stabæk,2,1
Tromsø,Rosenborg,3,1
Haugesund,Viking,0,2
Molde,Odd,4,1
Sandefjord,Strømsgodset,2,0
Rosenborg,Bodø/Glimt,1,1
Sarpsborg 08,Lillestrøm,3,1
Stabæk,Brann,0,1
Tromsø,HamKam,2,1
Vålerenga,Aalesund,3,1
Aalesund,Stabæk,1,1
Bodø/Glimt,Vålerenga,4,2
Brann,Tromsø,2,1
HamKam,Sarpsborg 08,1,1
Lillestrøm,Rosenborg,3,0
Odd,Haugesund,1,1
Strømsgodset,Molde,1,1
Viking,Sandefjord,4,3
Odd,Viking,1,1
Haugesund,Strømsgodset,1,0
Molde,Bodø/Glimt,1,3
Sandefjord,HamKam,0,1
Sarpsborg 08,Rosenborg,5,2
Stabæk,Lillestrøm,1,0
Tromsø,Aalesund,1,2
Vålerenga,Brann,1,2
Bodø/Glimt,Sandefjord,4,3
Brann,Molde,3,2
Aalesund,Sarpsborg 08,3,2
HamKam,Haugesund,0,3
Lillestrøm,Vålerenga,2,0
Rosenborg,Stabæk,1,1
Strømsgodset,Odd,3,1
Viking,Tromsø,3,4
Haugesund,Aalesund,6,1
Odd,HamKam,2,0
Sandefjord,Brann,1,1
Sarpsborg 08,Stabæk,2,2
Strømsgodset,Viking,1,0
Vålerenga,Rosenborg,1,3
Bodø/Glimt,Lillestrøm,3,1
Molde,Tromsø,1,4
HamKam,Viking,3,0
Brann,Odd,2,1
Lillestrøm,Haugesund,1,0
Rosenborg,Molde,3,1
Sarpsborg 08,Vålerenga,3,2
Stabæk,Bodø/Glimt,0,4
Tromsø,Strømsgodset,0,1
Aalesund,Sandefjord,0,3
Haugesund,Brann,0,2
Bodø/Glimt,Aalesund,1,0
Molde,Lillestrøm,4,0
Odd,Tromsø,1,2
Sandefjord,Rosenborg,3,2
Strømsgodset,HamKam,0,1
Viking,Sarpsborg 08,2,1
Vålerenga,Stabæk,0,0
Aalesund,Viking,0,4
Brann,Bodø/Glimt,4,2
HamKam,Vålerenga,0,2
Lillestrøm,Odd,4,4
Rosenborg,Strømsgodset,1,3
Sarpsborg 08,Molde,1,3
Stabæk,Sandefjord,2,1
Tromsø,Haugesund,2,1
Bodø/Glimt,Sarpsborg 08,2,0
Haugesund,Stabæk,3,0
Molde,HamKam,1,1
Odd,Aalesund,4,1
Sandefjord,Lillestrøm,1,0
Strømsgodset,Brann,3,0
Viking,Rosenborg,1,5
Vålerenga,Tromsø,1,1
